ProjectGroup,FailedReleases
Psyri,9056
Argolstolion,8937
Arkoudi,7392
Ios,6567
Syntagma,6526
Ithaca,2653
Sounion,1752
Corinth,1719
Palaiokastritsa,1717
Megalopolis,1637
Neapoli,1508
Pireas,1482
Crete,1444
Galatsi,1357
Lefkada,1021
Sparti,960
Corfu,901
Monastiraki,843
Atokos,759
Methana,703
Sami,664
Nydri,625
Klisidi,607
Galaxidi,511
Sidari,499
Acropolis,448
Naplion,385
Santorini,367
Kallithea,360
Spetses,358
Skopelos,332
Athena,331
Poros,330
Kefalonia,327
Sivota,312
Ikaria,285
Alimos,281
Vliho,266
Patras,262
Samos,255
Serifos,243
Plaka,233
Olympia,232
Skiathos,208
Pilos,193
Delphi,179
Kalamata,138
Adamantas,127
Marmari,125
Kos,106
Fiskardo,105
Naxos,105
Keroni,97
Leros,92
Chania,83
Kioni,75
Preveza,74
Kolonaki,59
Rafina,53
Amorogos,48
Vathi,31
Marathon,26
Frickes,26
Epidavros,23
Evia,21
Vasiliki,17
Heraklion,17
Methoni,16
Kefalos,12
Lixouri,10
Idra,9
Sifnos,5
Kastos,4
Kea,4
Kithnos,1
